iter	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
1665	0.3337960647	0.2322612695	0.7274628845	0.1150684469
1670	0.333908621	0.2327900061	0.7273253157	0.1150184219
1675	0.3340837085	0.2329285476	0.7266523602	0.1150184219
1680	0.3342337836	0.2325158413	0.7270108422	0.1150684469
1685	0.3342963148	0.2327516536	0.7278684139	0.115268547
1690	0.3342963148	0.2325926852	0.727820771	0.115218522
1695	0.3345464399	0.2327005169	0.7276161232	0.115268547
1700	0.3345089211	0.2330971041	0.7273686094	0.1151684969
1705	0.3346214774	0.2332874771	0.7282404739	0.115318572
1710	0.3346840087	0.2335398255	0.7281285131	0.115418622
1715	0.3349591462	0.2335224557	0.7289039008	0.1156687471
1720	0.3349591462	0.2338028737	0.7290090816	0.1156687471
1725	0.3351092213	0.2332726085	0.7286057053	0.1157187721
1730	0.3353343338	0.2338741593	0.7289066494	0.1157687971
1735	0.3355969651	0.2338081541	0.7291915141	0.1158188221
1740	0.3357095214	0.2336705853	0.7293860558	0.1157687971
1745	0.3357595464	0.2337660497	0.7297171737	0.1157687971
1750	0.3359721527	0.2343598188	0.7303782186	0.1159688971
1755	0.3362097716	0.2343777444	0.7303727334	0.1159688971
1760	0.336084709	0.2348304708	0.7297019434	0.1159188721
1765	0.3362097716	0.2346020232	0.7310234375	0.1163190722
1770	0.3364348841	0.2347583514	0.7311058047	0.1164691473
1775	0.3365224279	0.2347600189	0.7313344905	0.1165691973
1780	0.3362973153	0.2347286143	0.7305237829	0.1163190722
1785	0.3364598966	0.2349259352	0.7306263983	0.1164191223
1790	0.3365224279	0.2352395642	0.7308667963	0.1164191223
1795	0.3366725029	0.2354250736	0.731406054	0.1164691473
1800	0.3366349842	0.2360520538	0.7319287513	0.1165191723
1805	0.336922628	0.2362210272	0.7319123678	0.1165691973
1810	0.3368475905	0.2367504586	0.731833757	0.1166192223
1815	0.3371477405	0.2371166139	0.7330442739	0.1168693474
1820	0.3371602468	0.2373458952	0.7325273488	0.1167192723
1825	0.3372477906	0.2373190762	0.7327289648	0.1168193224
1830	0.3374854094	0.237069368	0.7323848533	0.1167692973
1835	0.3375604469	0.2367954811	0.7326240783	0.1170194224
1840	0.3377855594	0.2371410705	0.7327574783	0.1170694474
1845	0.3377480407	0.2373007337	0.7333329797	0.1170194224
1850	0.3377605469	0.2371036907	0.7338401778	0.1170694474
1855	0.3379856595	0.2371174476	0.7337865795	0.1171194724
1860	0.338060697	0.2374202379	0.733678192	0.1171694974
1865	0.3381982658	0.2376884275	0.7341248439	0.1173695975
1870	0.3382858096	0.2377117726	0.734708469	0.1174196225
1875	0.3383608471	0.2379052026	0.7350394787	0.1174696475
1880	0.3383983658	0.2378280807	0.7344272678	0.1174196225
1885	0.3385234284	0.2381613029	0.7347190804	0.1175196725
1890	0.3387485409	0.2382599633	0.7349878836	0.1175696975
1895	0.3387985659	0.2382803902	0.7350414819	0.1174696475
1900	0.338848591	0.2383141571	0.7351754774	0.1175196725
1905	0.338898616	0.23843783	0.7354770171	0.1177697976
1910	0.3389736535	0.2383069312	0.7357688297	0.1176697476
1915	0.3391362348	0.23823773	0.736014786	0.1178698476
1920	0.3393363348	0.2382714969	0.7364622319	0.1181199727
1925	0.3392738036	0.2385371853	0.7370405414	0.1184201228
1930	0.3394989161	0.2386975432	0.7364067018	0.1184201228
1935	0.3396114724	0.238738397	0.7362567017	0.1183200727
1940	0.3396614974	0.2389603135	0.7367901123	0.1183700977
1945	0.3397490412	0.2391927908	0.7371625208	0.1184701478
1950	0.3397865599	0.2396084153	0.7372882781	0.1184701478
1955	0.3398115725	0.2399555333	0.7366066873	0.1184701478
1960	0.33998666	0.2403382247	0.7366372581	0.1185201728
1965	0.3399116225	0.2404154855	0.7370374582	0.1185201728
1970	0.3401492413	0.2408404202	0.7372615602	0.1185701978
1975	0.3402868101	0.2412336724	0.7382766511	0.1188203229
1980	0.3403868601	0.2415179812	0.7380758562	0.1188203229
1985	0.3405119226	0.2413870824	0.7383506148	0.1189703979
1990	0.3406369852	0.2417083542	0.7389547047	0.119220523
1995	0.3404118726	0.2416884831	0.7378360899	0.1189203729
2000	0.3404618976	0.2419343005	0.73836969	0.1190204229
2005	0.3405744539	0.2419668167	0.7384433199	0.1190704479
2010	0.3407620477	0.2417842254	0.7382875602	0.1190204229
2015	0.3408495915	0.242136207	0.738511996	0.1191204729
2020	0.3408996165	0.2428340559	0.7382755141	0.1191204729
2025	0.3409996665	0.2430183147	0.7383538843	0.1191704979
2030	0.3411372353	0.2430695904	0.7380106571	0.1190704479
2035	0.3411372353	0.2428523984	0.7383776485	0.1191704979
2040	0.3412622978	0.2429086766	0.7396086784	0.119420623
2045	0.3413873603	0.2431838141	0.7396973255	0.119520673
2050	0.3417625479	0.2430033072	0.7397767302	0.1196707481
2055	0.3416624979	0.2430915458	0.7394492161	0.119520673
2060	0.3416624979	0.2431506031	0.7393856592	0.119570698
2065	0.3416499917	0.2431214218	0.7393352066	0.1196207231
2070	0.3417375354	0.2433037352	0.7390368251	0.119570698
2075	0.3419501417	0.2434674282	0.7393430388	0.1197207731
2080	0.3420251793	0.2440331277	0.7394847764	0.1197707981
2085	0.3422753043	0.2437913401	0.7401947805	0.1199208731
2090	0.3422753043	0.2441843144	0.7401729747	0.1199208731
2095	0.3424003669	0.2446413485	0.7406982373	0.1200709482
2100	0.3424503919	0.244031877	0.7409761541	0.1201709982
2105	0.3424628981	0.2442793619	0.7409200483	0.1200709482
2110	0.3426379857	0.2442975654	0.7411118109	0.1201209732
2115	0.3427880607	0.244552693	0.7416732027	0.1201209732
2120	0.3427880607	0.2448736868	0.7416792663	0.1201209732
2125	0.3427880607	0.2444862709	0.7418583963	0.1202210232
2130	0.3429381357	0.2446380135	0.7413368152	0.1201209732
2135	0.343150742	0.2448522873	0.7418450238	0.1203710982
2140	0.3435009171	0.2454120116	0.7427096507	0.1206212233
2145	0.3436760047	0.2459064254	0.7427412141	0.1205711983
2150	0.3436885109	0.2459606192	0.7428662766	0.1205711983
2155	0.3436760047	0.246354983	0.7425918339	0.1204211233
2160	0.3438260797	0.2463299705	0.7429894959	0.1206212233
2165	0.3437385359	0.2470724251	0.7427143583	0.1205711983
2170	0.3438635985	0.2466680563	0.743065544	0.1207212733
2175	0.343988661	0.2470807626	0.7430200667	0.1206712483
2180	0.3441012173	0.2470482463	0.7433962469	0.1208213234
2185	0.3442262798	0.2470840976	0.7430419031	0.1206712483
2190	0.3443888611	0.2478147407	0.7433684552	0.1208213234
2195	0.3443138236	0.2475070869	0.7436533199	0.1208713484
2200	0.3443513423	0.2478793563	0.7433861408	0.1208713484
2205	0.3445264299	0.2477834751	0.7437678974	0.1210214234
2210	0.3447140237	0.2477752765	0.7433017552	0.1209213734
2215	0.3446765049	0.247863654	0.7432895909	0.1210714484
2220	0.3446389862	0.2481486577	0.7437717764	0.1210714484
2225	0.3448891112	0.2481011339	0.7443674927	0.1211714984
2230	0.3450016675	0.2480805681	0.7451602502	0.1214716485
2235	0.3450641988	0.2484440832	0.744567295	0.1214716485
2240	0.3452642988	0.2489264076	0.7453248042	0.1217717986
2245	0.3452017676	0.2491335946	0.7454127755	0.1217217736
2250	0.3453018176	0.24931563	0.7449946788	0.1217717986
2255	0.3453143238	0.2497500139	0.7454304125	0.1217717986
2260	0.3454018676	0.2494115113	0.7447477119	0.1215716985
2265	0.3455769551	0.2499684565	0.745497125	0.1217717986
2270	0.3456644989	0.2493436996	0.7453363303	0.1216717486
2275	0.3456770052	0.2496059141	0.7460888711	0.1217717986
2280	0.345814574	0.249859791	0.7465623221	0.1219718986
